genome	cluster	size	extended_phylogeny	succinct_phylogeny	final_representative	rep_accession	ecogenomics_classificaion	final_classification	updated_classification	initial_classification	accession	genome_extended	genome_type	is_95ANI_rep	new_isolate	existing_isolate	isolate_origin
GCA_902576375_1_AG_426_D09	cluster_000318	1	include	include	GCA_902576375.1_AG-426-D09	GCA_902576375.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902576375.1	GCA_902576375.1_AG-426-D09	SAG	TRUE	NA	NA	NA
GCA_902580895_1_AG_911_G06	cluster_000209	1	include	include	GCA_902580895.1_AG-911-G06	GCA_902580895.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902580895.1	GCA_902580895.1_AG-911-G06	SAG	TRUE	NA	NA	NA
GCA_902593845_1_AG_447_F10	cluster_000060	4	include	excluded_not_95_rep	GCA_902596515.1_AG-916-A16	GCA_902596515.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902593845.1	GCA_902593845.1_AG-447-F10	SAG	NA	NA	NA	NA
GCA_902596515_1_AG_916_A16	cluster_000060	4	include	include	GCA_902596515.1_AG-916-A16	GCA_902596515.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902596515.1	GCA_902596515.1_AG-916-A16	SAG	TRUE	NA	NA	NA
GCA_902596925_1_AG_447_P22	cluster_000101	1	include	include	GCA_902596925.1_AG-447-P22	GCA_902596925.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902596925.1	GCA_902596925.1_AG-447-P22	SAG	TRUE	NA	NA	NA
GCA_902617625_1_AG_919_O02	cluster_000153	1	include	include	GCA_902617625.1_AG-919-O02	GCA_902617625.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902617625.1	GCA_902617625.1_AG-919-O02	SAG	TRUE	NA	NA	NA
GCA_902625035_1_AH_287_J18	cluster_000172	1	include	include	GCA_902625035.1_AH-287-J18	GCA_902625035.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902625035.1	GCA_902625035.1_AH-287-J18	SAG	TRUE	NA	NA	NA
GCA_902524235_1_AG_337_C19	cluster_000242	1	include	include	GCA_902524235.1_AG-337-C19	GCA_902524235.1		Ib_6	Ib_6	Ib	GCA_902524235.1	GCA_902524235.1_AG-337-C19	SAG	TRUE	NA	NA	NA
GCA_902540355_1_AG_899_M19	cluster_000024	4	include	excluded_not_95_rep	GCA_902560075.1_AG-905-M05	GCA_902560075.1		Ib_6	Ib_6	Ib	GCA_902540355.1	GCA_902540355.1_AG-899-M19	SAG	NA	NA	NA	NA
GCA_902560075_1_AG_905_M05	cluster_000024	4	include	include	GCA_902560075.1_AG-905-M05	GCA_902560075.1		Ib_6	Ib_6	Ib	GCA_902560075.1	GCA_902560075.1_AG-905-M05	SAG	TRUE	NA	NA	NA
GCA_902601715_1_AG_917_F16	cluster_000024	4	include	excluded_not_95_rep	GCA_902560075.1_AG-905-M05	GCA_902560075.1		Ib_6	Ib_6	Ib	GCA_902601715.1	GCA_902601715.1_AG-917-F16	SAG	NA	NA	NA	NA
GCA_902622905_1_AG_893_L13	cluster_000024	4	include	excluded_not_95_rep	GCA_902560075.1_AG-905-M05	GCA_902560075.1		Ib_6	Ib_6	Ib	GCA_902622905.1	GCA_902622905.1_AG-893-L13	SAG	NA	NA	NA	NA
GCA_902536765_1_AG_349_I05	cluster_000319	1	include	include	GCA_902536765.1_AG-349-I05	GCA_902536765.1		Ib_8	Ib_8	Ib	GCA_902536765.1	GCA_902536765.1_AG-349-I05	SAG	TRUE	NA	NA	NA
GCA_902560565_1_AG_404_B06	cluster_000324	1	include	include	GCA_902560565.1_AG-404-B06	GCA_902560565.1		Ib_8	NA	Ib_8	GCA_902560565.1	GCA_902560565.1_AG-404-B06	SAG	TRUE	NA	NA	NA
GCA_902580275_1_AG_911_N14	cluster_000099	1	include	include	GCA_902580275.1_AG-911-N14	GCA_902580275.1		Ib_8	Ib_8	Ib	GCA_902580275.1	GCA_902580275.1_AG-911-N14	SAG	TRUE	NA	NA	NA
GCA_902581445_1_AG_911_K15	cluster_000044	1	include	include	GCA_902581445.1_AG-911-K15	GCA_902581445.1		Ib_8	Ib_8	Ib	GCA_902581445.1	GCA_902581445.1_AG-911-K15	SAG	TRUE	NA	NA	NA
GCA_902582315_1_AG_430_I18	cluster_000127	1	include	include	GCA_902582315.1_AG-430-I18	GCA_902582315.1		Ib_8	Ib_8	Ib	GCA_902582315.1	GCA_902582315.1_AG-430-I18	SAG	TRUE	NA	NA	NA
GCA_902583645_1_AG_430_N16	cluster_000328	1	include	include	GCA_902583645.1_AG-430-N16	GCA_902583645.1		Ib_8	Ib_8	Ib	GCA_902583645.1	GCA_902583645.1_AG-430-N16	SAG	TRUE	NA	NA	NA
GCA_902636025_1_AG_916_B11	cluster_000250	1	include	include	GCA_902636025.1_AG-916-B11	GCA_902636025.1		Ib_8	Ib_8	Ib	GCA_902636025.1	GCA_902636025.1_AG-916-B11	SAG	TRUE	NA	NA	NA
GCA_902537285_1_AG_899_B09	cluster_000055	4	include	excluded_not_95_rep	RS40	RS40		Ib.1	Ib.1	Ib.1	GCA_902537285.1	GCA_902537285.1_AG-899-B09	SAG	NA	NA	NA	NA
GCA_902576045_1_AG_426_C16	cluster_000055	4	include	excluded_not_95_rep	RS40	RS40		Ib.1	Ib.1	Ib.1	GCA_902576045.1	GCA_902576045.1_AG-426-C16	SAG	NA	NA	NA	NA
GCA_902592445_1_AG_914_P22	cluster_000071	1	include	include	GCA_902592445.1_AG-914-P22	GCA_902592445.1		Ib.1	Ib.1	Ib.1	GCA_902592445.1	GCA_902592445.1_AG-914-P22	SAG	TRUE	NA	NA	NA
GCA_902601315_1_AG_917_E05	cluster_000258	1	include	include	GCA_902601315.1_AG-917-E05	GCA_902601315.1		Ib.1	Ib.1	Ib.1	GCA_902601315.1	GCA_902601315.1_AG-917-E05	SAG	TRUE	NA	NA	NA
GCA_902612405_1_AG_918_G15	cluster_000055	4	include	excluded_not_95_rep	RS40	RS40		Ib.1	Ib.1	Ib.1	GCA_902612405.1	GCA_902612405.1_AG-918-G15	SAG	NA	NA	NA	NA
GCA_902625715_1_AH_287_O09	cluster_000262	1	include	include	GCA_902625715.1_AH-287-O09	GCA_902625715.1		Ib.1	Ib.1	Ib.1	GCA_902625715.1	GCA_902625715.1_AH-287-O09	SAG	TRUE	NA	NA	NA
GCA_001704065_1_GOM_A1	cluster_000027	6	include	excluded_not_95_rep	GCA_902617415.1_AG-892-F15	GCA_902617415.1	Ib.1.III	Ib.1.III	Ib.1.III	Ib.1.III	GCA_001704065.1	GCA_001704065.1_GOM-A1	SAG	NA	NA	NA	NA
GCA_902518165_1_AG_894_B06	cluster_000196	2	include	include	GCA_902518165.1_AG-894-B06	GCA_902518165.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902518165.1	GCA_902518165.1_AG-894-B06	SAG	TRUE	NA	NA	NA
GCA_902519015_1_AG_894_E10	cluster_000035	5	include	excluded_not_95_rep	GCA_902616245.1_AG-892-B11	GCA_902616245.1		Ib.1.III	Ib.1.III	Ib	GCA_902519015.1	GCA_902519015.1_AG-894-E10	SAG	NA	NA	NA	NA
GCA_902519165_1_AG_894_F15	cluster_000027	6	include	excluded_not_95_rep	GCA_902617415.1_AG-892-F15	GCA_902617415.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902519165.1	GCA_902519165.1_AG-894-F15	SAG	NA	NA	NA	NA
GCA_902524595_1_AG_337_D16	cluster_000231	1	include	include	GCA_902524595.1_AG-337-D16	GCA_902524595.1		Ib.1.III	Ib.1.III	Ib	GCA_902524595.1	GCA_902524595.1_AG-337-D16	SAG	TRUE	NA	NA	NA
GCA_902525935_1_AG_337_I10	cluster_000297	1	include	include	GCA_902525935.1_AG-337-I10	GCA_902525935.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902525935.1	GCA_902525935.1_AG-337-I10	SAG	TRUE	NA	NA	NA
GCA_902531175_1_AG_897_G09	cluster_000187	1	include	include	GCA_902531175.1_AG-897-G09	GCA_902531175.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902531175.1	GCA_902531175.1_AG-897-G09	SAG	TRUE	NA	NA	NA
GCA_902532525_1_AG_897_O16	cluster_000073	1	include	include	GCA_902532525.1_AG-897-O16	GCA_902532525.1		Ib.1.III	Ib.1.III	Ib	GCA_902532525.1	GCA_902532525.1_AG-897-O16	SAG	TRUE	NA	NA	NA
GCA_902533775_1_AG_898_D09	cluster_000162	1	include	include	GCA_902533775.1_AG-898-D09	GCA_902533775.1		Ib.1.III	Ib.1.III	Ib	GCA_902533775.1	GCA_902533775.1_AG-898-D09	SAG	TRUE	NA	NA	NA
GCA_902534735_1_AG_898_G21	cluster_000027	6	include	excluded_not_95_rep	GCA_902617415.1_AG-892-F15	GCA_902617415.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902534735.1	GCA_902534735.1_AG-898-G21	SAG	NA	NA	NA	NA
GCA_902535235_1_AG_898_J19	cluster_000095	3	include	excluded_not_95_rep	GCA_902570695.1_AG-909-F14	GCA_902570695.1		Ib.1.III	Ib.1.III	Ib	GCA_902535235.1	GCA_902535235.1_AG-898-J19	SAG	NA	NA	NA	NA
GCA_902537055_1_AG_899_A06	cluster_000076	1	include	include	GCA_902537055.1_AG-899-A06	GCA_902537055.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902537055.1	GCA_902537055.1_AG-899-A06	SAG	TRUE	NA	NA	NA
GCA_902538525_1_AG_899_G03	cluster_000336	1	include	include	GCA_902538525.1_AG-899-G03	GCA_902538525.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902538525.1	GCA_902538525.1_AG-899-G03	SAG	TRUE	NA	NA	NA
GCA_902539835_1_AG_359_B05	cluster_000035	5	include	excluded_not_95_rep	GCA_902616245.1_AG-892-B11	GCA_902616245.1		Ib.1.III	Ib.1.III	Ib	GCA_902539835.1	GCA_902539835.1_AG-359-B05	SAG	NA	NA	NA	NA
GCA_902541285_1_AG_359_G17	cluster_000288	1	include	include	GCA_902541285.1_AG-359-G17	GCA_902541285.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902541285.1	GCA_902541285.1_AG-359-G17	SAG	TRUE	NA	NA	NA
GCA_902543175_1_AG_359_O11	cluster_000013	2	include	excluded_not_95_rep	GCA_902594705.1_AG-915-G14	GCA_902594705.1		Ib.1.III	Ib.1.III	Ib	GCA_902543175.1	GCA_902543175.1_AG-359-O11	SAG	NA	NA	NA	NA
GCA_902543295_1_AG_900_G16	cluster_000343	2	include	include	GCA_902543295.1_AG-900-G16	GCA_902543295.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902543295.1	GCA_902543295.1_AG-900-G16	SAG	TRUE	NA	NA	NA
GCA_902543485_1_AG_900_I13	cluster_000074	1	include	include	GCA_902543485.1_AG-900-I13	GCA_902543485.1		Ib.1.III	Ib.1.III	Ib	GCA_902543485.1	GCA_902543485.1_AG-900-I13	SAG	TRUE	NA	NA	NA
GCA_902543575_1_AG_900_I19	cluster_000118	1	include	include	GCA_902543575.1_AG-900-I19	GCA_902543575.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902543575.1	GCA_902543575.1_AG-900-I19	SAG	TRUE	NA	NA	NA
GCA_902549935_1_AG_903_C11	cluster_000196	2	include	excluded_not_95_rep	GCA_902518165.1_AG-894-B06	GCA_902518165.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902549935.1	GCA_902549935.1_AG-903-C11	SAG	NA	NA	NA	NA
GCA_902564385_1_AG_907_M07	cluster_000161	1	include	include	GCA_902564385.1_AG-907-M07	GCA_902564385.1		Ib.1.III	Ib.1.III	Ib	GCA_902564385.1	GCA_902564385.1_AG-907-M07	SAG	TRUE	NA	NA	NA
GCA_902566215_1_AG_908_C17	cluster_000027	6	include	excluded_not_95_rep	GCA_902617415.1_AG-892-F15	GCA_902617415.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902566215.1	GCA_902566215.1_AG-908-C17	SAG	NA	NA	NA	NA
GCA_902567545_1_AG_908_I21	cluster_000190	2	include	excluded_not_95_rep	GCA_902613065.1_AG-918-K13	GCA_902613065.1		Ib.1.III	Ib.1.III	Ib	GCA_902567545.1	GCA_902567545.1_AG-908-I21	SAG	NA	NA	NA	NA
GCA_902568145_1_AG_908_L09	cluster_000035	5	include	excluded_not_95_rep	GCA_902616245.1_AG-892-B11	GCA_902616245.1		Ib.1.III	Ib.1.III	Ib	GCA_902568145.1	GCA_902568145.1_AG-908-L09	SAG	NA	NA	NA	NA
GCA_902570695_1_AG_909_F14	cluster_000095	3	include	include	GCA_902570695.1_AG-909-F14	GCA_902570695.1		Ib.1.III	Ib.1.III	Ib	GCA_902570695.1	GCA_902570695.1_AG-909-F14	SAG	TRUE	NA	NA	NA
GCA_902576975_1_AG_426_F10	cluster_000218	2	include	excluded_not_95_rep	GCA_902596975.1_AG-916-E19	GCA_902596975.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902576975.1	GCA_902576975.1_AG-426-F10	SAG	NA	NA	NA	NA
GCA_902578885_1_AG_426_M19	cluster_000241	1	include	include	GCA_902578885.1_AG-426-M19	GCA_902578885.1		Ib.1.III	NA	Ib.1.III	GCA_902578885.1	GCA_902578885.1_AG-426-M19	SAG	TRUE	NA	NA	NA
GCA_902594705_1_AG_915_G14	cluster_000013	2	include	include	GCA_902594705.1_AG-915-G14	GCA_902594705.1		Ib.1.III	Ib.1.III	Ib	GCA_902594705.1	GCA_902594705.1_AG-915-G14	SAG	TRUE	NA	NA	NA
GCA_902596975_1_AG_916_E19	cluster_000218	2	include	include	GCA_902596975.1_AG-916-E19	GCA_902596975.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902596975.1	GCA_902596975.1_AG-916-E19	SAG	TRUE	NA	NA	NA
GCA_902601055_1_AG_917_D14	cluster_000035	5	include	excluded_not_95_rep	GCA_902616245.1_AG-892-B11	GCA_902616245.1		Ib.1.III	Ib.1.III	Ib	GCA_902601055.1	GCA_902601055.1_AG-917-D14	SAG	NA	NA	NA	NA
GCA_902611845_1_AG_918_E02	cluster_000032	1	include	include	GCA_902611845.1_AG-918-E02	GCA_902611845.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902611845.1	GCA_902611845.1_AG-918-E02	SAG	TRUE	NA	NA	NA
GCA_902612605_1_AG_918_G22	cluster_000300	1	include	include	GCA_902612605.1_AG-918-G22	GCA_902612605.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902612605.1	GCA_902612605.1_AG-918-G22	SAG	TRUE	NA	NA	NA
GCA_902613065_1_AG_918_K13	cluster_000190	2	include	include	GCA_902613065.1_AG-918-K13	GCA_902613065.1		Ib.1.III	Ib.1.III	Ib	GCA_902613065.1	GCA_902613065.1_AG-918-K13	SAG	TRUE	NA	NA	NA
GCA_902616245_1_AG_892_B11	cluster_000035	5	include	include	GCA_902616245.1_AG-892-B11	GCA_902616245.1		Ib.1.III	Ib.1.III	Ib	GCA_902616245.1	GCA_902616245.1_AG-892-B11	SAG	TRUE	NA	NA	NA
GCA_902617415_1_AG_892_F15	cluster_000027	6	include	include	GCA_902617415.1_AG-892-F15	GCA_902617415.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902617415.1	GCA_902617415.1_AG-892-F15	SAG	TRUE	NA	NA	NA
GCA_902618205_1_AG_892_J03	cluster_000182	1	include	include	GCA_902618205.1_AG-892-J03	GCA_902618205.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902618205.1	GCA_902618205.1_AG-892-J03	SAG	TRUE	NA	NA	NA
GCA_902622245_1_AG_893_J08	cluster_000151	1	include	include	GCA_902622245.1_AG-893-J08	GCA_902622245.1		Ib.1.III	Ib.1.III	Ib	GCA_902622245.1	GCA_902622245.1_AG-893-J08	SAG	TRUE	NA	NA	NA
GCA_902623245_1_AG_893_M22	cluster_000343	2	include	excluded_not_95_rep	GCA_902543295.1_AG-900-G16	GCA_902543295.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902623245.1	GCA_902623245.1_AG-893-M22	SAG	NA	NA	NA	NA
GCA_902623495_1_AG_893_N07	cluster_000112	1	include	include	GCA_902623495.1_AG-893-N07	GCA_902623495.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902623495.1	GCA_902623495.1_AG-893-N07	SAG	TRUE	NA	NA	NA
GCA_902623855_1_AG_893_O16	cluster_000027	6	include	excluded_not_95_rep	GCA_902617415.1_AG-892-F15	GCA_902617415.1		Ib.1.III	Ib.1.III	Ib.1.III	GCA_902623855.1	GCA_902623855.1_AG-893-O16	SAG	NA	NA	NA	NA
GCA_902633865_1_AG_912_I02	cluster_000095	3	include	excluded_not_95_rep	GCA_902570695.1_AG-909-F14	GCA_902570695.1		Ib.1.III	Ib.1.III	Ib	GCA_902633865.1	GCA_902633865.1_AG-912-I02	SAG	NA	NA	NA	NA
GCA_902517495_1_AG_325_P23	cluster_000206	1	include	include	GCA_902517495.1_AG-325-P23	GCA_902517495.1		Ib.2	Ib.2	Ib.2	GCA_902517495.1	GCA_902517495.1_AG-325-P23	SAG	TRUE	NA	NA	NA
GCA_902520695_1_AG_894_L17	cluster_000338	1	include	include	GCA_902520695.1_AG-894-L17	GCA_902520695.1		Ib.2	Ib.2	Ib.2	GCA_902520695.1	GCA_902520695.1_AG-894-L17	SAG	TRUE	NA	NA	NA
GCA_902524115_1_AG_337_C14	cluster_000327	1	include	include	GCA_902524115.1_AG-337-C14	GCA_902524115.1		Ib.2	Ib.2	Ib.2	GCA_902524115.1	GCA_902524115.1_AG-337-C14	SAG	TRUE	NA	NA	NA
GCA_902525505_1_AG_337_G04	cluster_000312	2	include	include	GCA_902525505.1_AG-337-G04	GCA_902525505.1	Ib.2.I	Ib.2	NA	Ib	GCA_902525505.1	GCA_902525505.1_AG-337-G04	SAG	TRUE	NA	NA	NA
GCA_902543155_1_AG_359_O02	cluster_000115	1	include	include	GCA_902543155.1_AG-359-O02	GCA_902543155.1	Ib.2.I	Ib.2	NA	Ib.2	GCA_902543155.1	GCA_902543155.1_AG-359-O02	SAG	TRUE	NA	NA	NA
GCA_902544675_1_AG_900_M23	cluster_000312	2	include	excluded_not_95_rep	GCA_902525505.1_AG-337-G04	GCA_902525505.1		Ib.2	NA	Ib	GCA_902544675.1	GCA_902544675.1_AG-900-M23	SAG	NA	NA	NA	NA
GCA_902547535_1_AG_901_I06	cluster_000186	1	include	include	GCA_902547535.1_AG-901-I06	GCA_902547535.1		Ib.2	Ib.2	Ib.2	GCA_902547535.1	GCA_902547535.1_AG-901-I06	SAG	TRUE	NA	NA	NA
GCA_902555275_1_AG_904_G21	cluster_000146	1	include	include	GCA_902555275.1_AG-904-G21	GCA_902555275.1		Ib.2	Ib.2	Ib.2	GCA_902555275.1	GCA_902555275.1_AG-904-G21	SAG	TRUE	NA	NA	NA
GCA_902555585_1_AG_904_K03	cluster_000003	2	include	include	GCA_902555585.1_AG-904-K03	GCA_902555585.1		Ib.2	Ib.2	Ib.2	GCA_902555585.1	GCA_902555585.1_AG-904-K03	SAG	TRUE	NA	NA	NA
GCA_902562645_1_AG_907_F09	cluster_000212	1	include	include	GCA_902562645.1_AG-907-F09	GCA_902562645.1		Ib.2	Ib.2	Ib.2	GCA_902562645.1	GCA_902562645.1_AG-907-F09	SAG	TRUE	NA	NA	NA
GCA_902570125_1_AG_414_O09	cluster_000125	1	include	include	GCA_902570125.1_AG-414-O09	GCA_902570125.1		Ib.2	Ib.2	Ib.2	GCA_902570125.1	GCA_902570125.1_AG-414-O09	SAG	TRUE	NA	NA	NA
GCA_902583075_1_AG_912_G22	cluster_000018	1	include	include	GCA_902583075.1_AG-912-G22	GCA_902583075.1		Ib.2	Ib.2	Ib.2	GCA_902583075.1	GCA_902583075.1_AG-912-G22	SAG	TRUE	NA	NA	NA
GCA_902589395_1_AG_439_G13	cluster_000346	1	include	include	GCA_902589395.1_AG-439-G13	GCA_902589395.1		Ib.2	Ib.2	Ib.2	GCA_902589395.1	GCA_902589395.1_AG-439-G13	SAG	TRUE	NA	NA	NA
GCA_902594335_1_AG_915_K07	cluster_000164	1	include	include	GCA_902594335.1_AG-915-K07	GCA_902594335.1		Ib.2	Ib.2	Ib.2	GCA_902594335.1	GCA_902594335.1_AG-915-K07	SAG	TRUE	NA	NA	NA
GCA_902599665_1_AG_916_O20	cluster_000279	1	include	include	GCA_902599665.1_AG-916-O20	GCA_902599665.1		Ib.2	Ib.2	Ib.2	GCA_902599665.1	GCA_902599665.1_AG-916-O20	SAG	TRUE	NA	NA	NA
GCA_902605865_1_AG_461_L09	cluster_000033	1	include	include	GCA_902605865.1_AG-461-L09	GCA_902605865.1		Ib.2	Ib.2	Ib.2	GCA_902605865.1	GCA_902605865.1_AG-461-L09	SAG	TRUE	NA	NA	NA
GCA_902614055_1_AG_918_P10	cluster_000026	1	include	include	GCA_902614055.1_AG-918-P10	GCA_902614055.1		Ib.2	Ib.2	Ib.2	GCA_902614055.1	GCA_902614055.1_AG-918-P10	SAG	TRUE	NA	NA	NA
GCA_902622785_1_AG_893_L07	cluster_000003	2	include	excluded_not_95_rep	GCA_902555585.1_AG-904-K03	GCA_902555585.1		Ib.2	Ib.2	Ib.2	GCA_902622785.1	GCA_902622785.1_AG-893-L07	SAG	NA	NA	NA	NA
GCA_902545635_1_AG_901_A07	cluster_000017	1	include	include	GCA_902545635.1_AG-901-A07	GCA_902545635.1		Ib.2_2	Ib.2_2	Ib.2	GCA_902545635.1	GCA_902545635.1_AG-901-A07	SAG	TRUE	NA	NA	NA
GCA_902551985_1_AG_903_L07	cluster_000040	1	include	include	GCA_902551985.1_AG-903-L07	GCA_902551985.1		Ib.2_2	Ib.2_2	Ib.2	GCA_902551985.1	GCA_902551985.1_AG-903-L07	SAG	TRUE	NA	NA	NA
GCA_902560585_1_AG_905_O08	cluster_000214	2	include	excluded_not_95_rep	GCA_902597335.1_AG-916-G09	GCA_902597335.1		Ib.2_2	Ib.2_2	Ib.2	GCA_902560585.1	GCA_902560585.1_AG-905-O08	SAG	NA	NA	NA	NA
GCA_902577075_1_AG_426_F15	cluster_000254	1	include	include	GCA_902577075.1_AG-426-F15	GCA_902577075.1		Ib.2_2	Ib.2_2	Ib.2	GCA_902577075.1	GCA_902577075.1_AG-426-F15	SAG	TRUE	NA	NA	NA
GCA_902581585_1_AG_911_J19	cluster_000083	1	include	include	GCA_902581585.1_AG-911-J19	GCA_902581585.1		Ib.2_2	Ib.2_2	Ib.2	GCA_902581585.1	GCA_902581585.1_AG-911-J19	SAG	TRUE	NA	NA	NA
GCA_902584995_1_AG_912_M06	cluster_000310	1	include	include	GCA_902584995.1_AG-912-M06	GCA_902584995.1		Ib.2_2	Ib.2_2	Ib.2	GCA_902584995.1	GCA_902584995.1_AG-912-M06	SAG	TRUE	NA	NA	NA
GCA_902594675_1_AG_915_G13	cluster_000215	1	include	include	GCA_902594675.1_AG-915-G13	GCA_902594675.1		Ib.2_2	Ib.2_2	Ib.2	GCA_902594675.1	GCA_902594675.1_AG-915-G13	SAG	TRUE	NA	NA	NA
GCA_902597335_1_AG_916_G09	cluster_000214	2	include	include	GCA_902597335.1_AG-916-G09	GCA_902597335.1		Ib.2_2	Ib.2_2	Ib.2	GCA_902597335.1	GCA_902597335.1_AG-916-G09	SAG	TRUE	NA	NA	NA
GCA_902611265_1_AG_918_B06	cluster_000171	1	include	include	GCA_902611265.1_AG-918-B06	GCA_902611265.1		Ib.2_2	Ib.2_2	Ib.2	GCA_902611265.1	GCA_902611265.1_AG-918-B06	SAG	TRUE	NA	NA	NA
GCA_902551755_1_AG_903_K07	cluster_000301	1	include	include	GCA_902551755.1_AG-903-K07	GCA_902551755.1		Ib.4_2	Ib.4_2	Ib.4	GCA_902551755.1	GCA_902551755.1_AG-903-K07	SAG	TRUE	NA	NA	NA
GCA_902562205_1_AG_907_E04	cluster_000147	1	include	include	GCA_902562205.1_AG-907-E04	GCA_902562205.1		Ib.4_2	Ib.4_2	Ib.4	GCA_902562205.1	GCA_902562205.1_AG-907-E04	SAG	TRUE	NA	NA	NA
GCA_902580675_1_AG_430_F16	cluster_000080	1	include	include	GCA_902580675.1_AG-430-F16	GCA_902580675.1	Ib.4	Ib.4_2	NA	Ia.4	GCA_902580675.1	GCA_902580675.1_AG-430-F16	SAG	TRUE	NA	NA	NA
GCA_902588835_1_AG_914_A09	cluster_000226	1	include	include	GCA_902588835.1_AG-914-A09	GCA_902588835.1		Ib.4_2	Ib.4_2	Ib.4	GCA_902588835.1	GCA_902588835.1_AG-914-A09	SAG	TRUE	NA	NA	NA
GCA_902591755_1_AG_914_M14	cluster_000176	1	include	include	GCA_902591755.1_AG-914-M14	GCA_902591755.1		Ib.4_2	Ib.4_2	Ib.4	GCA_902591755.1	GCA_902591755.1_AG-914-M14	SAG	TRUE	NA	NA	NA
GCA_902599625_1_AG_916_O13	cluster_000138	1	include	include	GCA_902599625.1_AG-916-O13	GCA_902599625.1		Ib.4_2	Ib.4_2	Ib.4	GCA_902599625.1	GCA_902599625.1_AG-916-O13	SAG	TRUE	NA	NA	NA
GCA_902547585_1_AG_901_I21	cluster_000175	2	include	excluded_not_95_rep	GCA_902622545.1_AG-893-K09	GCA_902622545.1		Ib.4_3	Ib.4_3	Ib.4	GCA_902547585.1	GCA_902547585.1_AG-901-I21	SAG	NA	NA	NA	NA
GCA_902583455_1_AG_912_F23	cluster_000002	1	include	include	GCA_902583455.1_AG-912-F23	GCA_902583455.1		Ib.4_3	Ib.4_3	Ib.4	GCA_902583455.1	GCA_902583455.1_AG-912-F23	SAG	TRUE	NA	NA	NA
GCA_902600485_1_AG_917_B07	cluster_000200	2	include	include	GCA_902600485.1_AG-917-B07	GCA_902600485.1		Ib.4_3	Ib.4_3	Ib.4	GCA_902600485.1	GCA_902600485.1_AG-917-B07	SAG	TRUE	NA	NA	NA
GCA_902606115_1_AG_461_M18	cluster_000098	1	include	include	GCA_902606115.1_AG-461-M18	GCA_902606115.1		Ib.4_3	Ib.4_3	Ib.4	GCA_902606115.1	GCA_902606115.1_AG-461-M18	SAG	TRUE	NA	NA	NA
GCA_902610315_1_AG_917_M15	cluster_000090	1	include	include	GCA_902610315.1_AG-917-M15	GCA_902610315.1		Ib.4_3	Ib.4_3	Ib.4	GCA_902610315.1	GCA_902610315.1_AG-917-M15	SAG	TRUE	NA	NA	NA
GCA_902611815_1_AG_918_E06	cluster_000352	1	include	include	GCA_902611815.1_AG-918-E06	GCA_902611815.1		Ib.4_3	Ib.4_3	Ib.4	GCA_902611815.1	GCA_902611815.1_AG-918-E06	SAG	TRUE	NA	NA	NA
GCA_902620685_1_AG_920_L19	cluster_000200	2	include	excluded_not_95_rep	GCA_902600485.1_AG-917-B07	GCA_902600485.1		Ib.4_3	Ib.4_3	Ib.4	GCA_902620685.1	GCA_902620685.1_AG-920-L19	SAG	NA	NA	NA	NA
GCA_902622545_1_AG_893_K09	cluster_000175	2	include	include	GCA_902622545.1_AG-893-K09	GCA_902622545.1		Ib.4_3	Ib.4_3	Ib.4	GCA_902622545.1	GCA_902622545.1_AG-893-K09	SAG	TRUE	NA	NA	NA
GCA_902628495_1_AH_324_B10	cluster_000014	1	include	include	GCA_902628495.1_AH-324-B10	GCA_902628495.1		Ib.4_3	Ib.4_3	Ib.4	GCA_902628495.1	GCA_902628495.1_AH-324-B10	SAG	TRUE	NA	NA	NA
GCA_000504605_1_ASM50460v1	cluster_000322	1	include	include	GCA_000504605.1_ASM50460v1	GCA_000504605.1		Ic	Ic	Ic.1	GCA_000504605.1	GCA_000504605.1_ASM50460v1	SAG	TRUE	NA	NA	NA
